score,affiliation
0.04438775510204082,horde
0.0020408163265306124,horde
0.0005102040816326531,horde
0.004591836734693878,horde
0.0025510204081632655,horde
0.0005102040816326531,horde
0.0035714285714285718,horde
0.0035714285714285718,horde
0.004081632653061225,horde
0.027040816326530614,horde
0.0020408163265306124,horde
0.0005102040816326531,horde
0.0015306122448979593,horde
0.0035714285714285718,horde
0.0025510204081632655,horde
0.00663265306122449,horde
0.010204081632653062,horde
0.018877551020408164,horde
0.0010204081632653062,horde
0.0025510204081632655,horde
0.0010204081632653062,horde
0.0005102040816326531,horde
0.0020408163265306124,horde
0.0035714285714285718,horde
0.0015306122448979593,horde
0.0015306122448979593,horde
0.0010204081632653062,horde
0.0020408163265306124,horde
0.0010204081632653062,horde
0.0025510204081632655,horde
0.0020408163265306124,horde
0.0010204081632653062,horde
0.004591836734693878,horde
0.0030612244897959186,horde
0.0025510204081632655,horde
0.0010204081632653062,horde
0.00663265306122449,horde
0.0005102040816326531,horde
0.0010204081632653062,horde
0.005102040816326531,horde
0.0015306122448979593,horde
0.009183673469387756,horde
0.0015306122448979593,horde
0.0071428571428571435,horde
0.004081632653061225,horde
0.004081632653061225,horde
0.004081632653061225,horde
0.0020408163265306124,horde
0.0005102040816326531,horde
0.0015306122448979593,horde
0.00969387755102041,horde
0.0035714285714285718,horde
0.0010204081632653062,horde
0.0015306122448979593,horde
0.0015306122448979593,horde
0.01326530612244898,horde
0.0030612244897959186,horde
0.0010204081632653062,horde
0.008673469387755102,horde
0.0010204081632653062,horde
0.0020408163265306124,horde
0.0025510204081632655,horde
0.0010204081632653062,horde
0.0015306122448979593,horde
0.0030612244897959186,horde
0.009183673469387756,horde
0.0015306122448979593,horde
0.006122448979591837,horde
0.012244897959183675,horde
0.009183673469387756,horde
0.0030612244897959186,horde
0.0005102040816326531,horde
0.0020408163265306124,horde
0.0015306122448979593,horde
0.0005102040816326531,horde
0.008673469387755102,horde
0.0030612244897959186,horde
0.020918367346938777,horde
0.0020408163265306124,horde
